title,text,author
Sangeet Som countered charges of sabotage levelled by Sanjeev Balyan in Uttar Pradesh,"The cold war between two Bharatiya Janata Party (BJP) leaders that affected the prospects of the party in key seats of western Uttar Pradesh came out in the open on Tuesday as former party MLA Sangeet Som countered charges of sabotage levelled by former Union Minister Sanjeev Balyan.

Also read: SP’s robust non-Yadav, OBC outreach pays off with BJP’s Purvanchal setback

Addressing mediapersons in Meerut on Monday, Mr. Balyan had appealed to the party leadership to “take action against those who openly worked for the Samajwadi Party while taking benefits from the BJP”. The two-time MP lost the prestigious Muzaffarnagar seat to SP’s Harendra Malik by 24,672 votes. Mr. Som said that Mr. Balyan “should not have brought up the differences in public, and instead raised his concerns at the party forum”.

The sugar bowl of U.P. emerged as the laboratory of Hindutva for the BJP after communal riots in 2013. Both Mr. Balyan and Mr. Som gained prominence following the polarisation that swept the Saharanpur and Meerut divisions for almost a decade.

However, in the 2022 Assembly poll, when Mr. Som lost the Sardhana seat which comes under Muzaffarnagar Lok Sabha, his supporters held Mr. Balyan responsible for the defeat, accusing him of not delivering the Jat votes. They felt he supported the Jat farmers who participated in the agitation against the farm laws to safeguard his interests. The well-wishers of Suresh Rana, the then sugarcane Minister in the Yogi Adityanath government, also blamed Mr. Balyan for the loss their leader suffered in the Thana Bhawan seat that is part of Kairana Lok Sabha. Mr. Balyan had little choice because he scraped through in the 2019 Lok Sabha against the Jat-Muslim unity mounted by the then Rashtriya Lok Dal (RLD) chief Ajit Singh.

The infighting diluted the Hindutva glue and the Jat and Rajput identities of party workers surfaced. It became all the more prominent in the run-up to the Lok Sabha poll as Rajput panchayats were held against Mr. Balyan and stones were pelted at his convoy in a Thakur-dominated village, a night before Prime Minister Narendra Modi addressed his first election rally in Meerut. Unsigned and undated letters on Mr. Som’s letter pad made it to social media and accused Mr. Balyan of corruption and misuse of power. In Rajput villages, Mr. Balyan faced the ire of Rajput youth for allegedly pushing only Jat candidates in the Agniveer recruitment camps. Mr. Adityanath called for peace as he shared the stage with them, but fissures remained throughout the campaign. Both the leaders continued to take jibes at each other where caste pride was palpable.

On Tuesday, Mr. Som underlined that the party had won from his Sardhana Assembly seat and it is in Charthawal and Budhana segments that it has come second, suggesting that the Thakurs stood by the BJP and it was the Jats who betrayed the party despite it aligning with the RLD. However, Mr. Balyan’s supporters pointed out that the difference in Sardhana was only 45 votes when the party expected it to secure a lot more from Rajput villages that dot the constituency. Local observers feel there is more to it than meets the eye in Mr. Balyan’s presser. Mr. Balyan held consolidation of the Muslim vote and division of the Hindu vote as the big reason for his defeat.

Talking to both camps reveals the possible sources of energy behind the battle between the two powerhouses. While the Jats in the Balyan camp allege that the State government’s attitude to their leader was visible when the district administration cancelled the candidature of three independent Muslim candidates; it ensured there was no division in the Muslim vote, which is around 33% of the total vote. Influential figures in the Muslim community also expressed surprise that there was no Muslim candidate among the 11 candidates in the fray.

The Rajputs, on the other hand, hold Home Minister Amit Shah’s poll speech in Shahpur, wherein he referred to the region as Jatland, responsible for deepening the caste divide that augmented Mr. Balyan’s casteist image. It not only irked the Rajputs but also angered the Most Backward Classes (MBCs) who stood by the BJP in the last two elections.",thehindu
"Get ready for 2026 T.N. Assembly elections, DMK president Stalin tells party cadres","Tamil Nadu Chief Minister and DMK president M.K. Stalin on Wednesday, June 12, 2024, told party cadres to gear up for the 2026 Assembly elections.

“Like the massive victory the DMK-led alliance secured by winning all the 39 Lok Sabha seats in Tamil Nadu and the lone seat in Puducherry during this year’s Lok Sabha elections, let us ensure that we win 200 plus seats in the upcoming 2026 assembly elections. The Mupperum Vizha in Coimbatore on June 15 will give us the required motivation,” he said, in a letter to cadres.

The Mupperum Vizha will felicitate Mr. Stalin for the DMK-led alliance winning all the 40 Parliamentary constituency seats. The event will also be a platform to express gratitude to the public for the victory of the INDIA bloc candidates in the general elections, and will mark the valedictory of the birth centenary celebrations of former Chief Minister M. Karunanidhi.

“Post this event, we will be facing the by-poll for the Vikravandi Assembly constituency. We have to ensure our continuous victory there. Next come the local body elections. And above all, we have to start preparing ourselves for the 2026 Assembly elections,” Mr. Stalin said.

“I have also noticed that some people in the opposite camp are asking what was the benefit to Tamil Nadu as there was no chance of [the INDIA bloc] participating in the Union government. That is not a question, but only a lament about their failure”, he said.

Those who believe in democracy and also aware of the rights provided to them by the Indian Constitution, know very well that the 40/40 victory acted as a rein to those in power at the Centre and will provide a safeguard to the Indian constitution, Mr. Stalin said.

In 1957, the DMK had two Lok Sabha members, but got assurances against the Hindi imposition. In 1962, Anna’s maiden speech in the Rajya Sabha, in which he said, ‘I belong to the Dravidian stock,’ was the first speech towards State autonomy. In continuation of this, voices for autonomy are also coming in from BJP-ruled States, Mr. Stalin pointed out. The next set of moves from the INDIA alliance will decide the future direction of India, Mr. Stalin said.

Some parties had been considering the western belt in Tamil Nadu as their bastion. People in that region have made these parties realise where they stand by giving their verdict in favour of the DMK-led alliance. “This is why the Mupperum Vizha is being held in Coimbatore,” he noted.

In the three years of the ‘Dravidian model’ government, people have directly benefited from multiple schemes, and this has resulted in the government earning their trust. “The flagship schemes will continue, and the public’s trust will further be strengthened. You have to ensure that the scheme reaches people and highlight the benefits to them,” Mr. Stalin told the party cadres.",thehindu
"Mohan Charan Majhi, BJP’s vocal tribal leader who attends all village functions","Mohan Charan Majhi, a four-time MLA with roots in the Rashtriya Swayamsevak Sangh, has been chosen the new Chief Minister of Odisha, marking the end of the BJP’s four-decade-long pursuit of power in the State.

The 52-year-old will be sworn in as the BJP’s first Chief Minister in Odisha on June 12. A member of the Santali tribe, he hails from Raikala village in the mineral-rich Keonjhar district.

As a prominent tribal face of the BJP, he was first elected to the Odisha Legislative Assembly in 2000 and again in 2004. However, he lost his seat in the 2009 and 2014 elections after the BJP-BJD alliance broke down.

After making a modest beginning as the sarpanch of the Raikala panchayat, Mr. Majhi gradually ascended the political ladder. In addition to his political career, he briefly worked as a teacher at Saraswati Sishu Mandir, a school affiliated with the Sangh Parivar.

Mr. Majhi, a law graduate with a Master’s in Arts, returned to the Assembly in 2019. His performance stood out during the five-year term from 2019 to 2024 when the voice of the 23 BJP MLAs was usually overshadowed by the 112 MLAs of the BJD in the Assembly.

Mr. Majhi had introduced seven private member’s Bills, including the Odisha Whistle Blowers’ Protection Bill, 2020; the Odisha Mahila Gram Sabha Bill, 2021; the Reservation of One-third of Employment in Government Posts and Services for Odisha Government School Students Bill, 2021; the Odisha Ground Water (Protection, Conservation, Regulation and Management) Bill, 2023; and Odisha Apartment (Ownership and Management) Bill, 2023.

As the Chief Whip of the BJP in 16th Odisha Legislative Assembly, Mr. Majhi participated in probably the highest number of discussions, be it during adjournment motion or zero hour. Mr. Majhi, who was national secretary of the BJP ST Morcha, always stood up for tribal cause.

His rich experience as the Government Deputy Chief Whip in the 13th Assembly, the Chief Whip of the BJP Legislature Party since 2019 and the Chairman of the Public Accounts Committee from 2022 would help him manage government affairs.

A native of Keonjhar, which boasts India’s largest iron ore deposits in one district, Mr. Majhi has been particularly vocal about the irregularities in the mining sector. During the BJD rule, he was at the forefront in flagging corruption in the utilisation of massive funds under the District Mineral Foundation.

According to his confidants, Mr. Majhi hardly misses social functions in every village coming under his Assembly constituency. He personally intervenes to get patients admitted in bigger hospitals. It was his empathy for people that helped him win four terms as MLA in the past 24 years.

On the proudest day of his life, he took time out to console family members of his personal assistant, who died in a road accident on Tuesday. Once the post-mortem got over, Mr. Majhi returned to party MLAs’ meeting.",thehindu
"In Sikkim, NOTA outdid Congress; CM got more votes than 31 BJP candidates","Candidates of the Congress, which ruled Sikkim for more than four years after its merger with India in 1975, polled 50 votes fewer than NOTA (none of the above) in the 12 seats the party contested in the Himalayan State on April 19.

The 31 candidates of the Bharatiya Janata Party (BJP) did better than their Congress counterparts but their total tally of 19,956 votes was 618 fewer than what Chief Minister Prem Singh Tamang garnered for his ruling Sikkim Krantikari Morcha (SKM) in the two seats — Rhenock and Soreng-Chakung — he contested.

The results of the 32-member Sikkim Assembly were declared on Sunday. The SKM won 31 of them while the Sikkim Democratic Front led by former Chief Minister Pawan Kumar Chamling bagged one.

Mr. Tamang polled a total of 20,574 votes and he was the only candidate to score in five digits — 10,480 votes in Soreng-Chakung, his home constituency, and 10,094 in Rhenock.

A five-digit figure is a major achievement in a State with 4.62 lakh voters.

The Congress candidates mustered 1,228 votes across 12 constituencies, working out to 0.32% of the total votes polled. NOTA scored 1,278 in these seats, which was 0.99% of the total votes polled.

In 2019, all the 12 candidates of the BJP forfeited their deposits after managing to get 1.62% of the total votes polled. The Congress fared poorer that year with all its 24 candidates garnering 0.77% of the votes and forfeiting their deposits.

Sikkim has not been a happy hunting ground for the national parties since 1985 when Nar Bahadur Bhandari’s Sikkim Sangram Parishad formed the government after 287 days of President’s Rule.

The BJP hoped to buck the trend, its confidence boosted after 10 SDF legislators donned saffron a few months after the 2019 polls. The party also won two seats in by-elections.

The confidence made the BJP contest 31 seats, but only two of its candidates — State unit president D.R. Thapa in Upper Burtuk and Tseten Tashi Bhutia in Sangha, a virtual constituency reserved for the Buddhist monastic community — were runners-up.

The newly formed and crowdfunded Citizen Action Party (CAP) performed better than the BJP. The regional party totalled 23,267 votes across the 30 seats it contested, which was 3,311 votes more than the BJP managed.",thehindu
Watch: The upsets and gains in Karnataka | Decode Karnataka | Lok Sabha elections 2024,"Following over two months of intense and extensive political action, the 2024 Lok Sabha election is well and truly over. The NDA is back in power and Narendra Modi has taken oath as the Prime Minister of India for a third term.

As the dust settles on one of the most keenly-watched poll season, let us evaluate the electoral outcome in the State.

The BJP, which was decimated in last year’s Assembly elections, won 17 seats. However, it also saw some upsets in the North Karnataka region, where the Congress wrested key seats from the saffron party to increase its tally to 9. Interestingly, the numbers are identical to the outcome in the State in the 2014 elections.

While the Congress government’s five ‘guarantee’ schemes — its major poll plank — could not help it break the single-digit jinx, it does seem to have contributed to increasing the party’s vote share from 31.88% in 2019 to 45.43% in 2024.

What do the numbers say about the unexpected upsets and strategic gains this elections? Did Congress’ guarantee schemes work or was the BJP too overconfident? Between class and caste, which one had a greater impact on people’s votes?

To decode the electoral trends and voting patterns that Karnataka displayed this polls, we have with us Dr. H.V. Vasu, the editor of Kannada web portal Eedina.com.",thehindu
"Elections dates: 2024 india general election dates, full schedule and State Maps","Chief Election Commissioner Rajiv Kumar on March 16 announced the schedule for the upcoming 18th Lok Sabha elections, and for the Assembly seats in Andhra Pradesh, Arunachal Pradesh, Odisha and Sikkim.

Click here for the full schedule

Mr. Kumar announced the schedule in New Delhi for 543 Lok Sabha seats. The elections will be held between April 19 and June 1, across seven phases. The Assembly polls for the aforementioned four States will be held simultaneously. The by-elections are also being held in the States of Bihar, Gujarat, Haryana, Jharkhand, Uttar Pradesh, Karnataka, Tamil Nadu and Tripura.

The counting of votes will be on June 4, 2024 The tenure of the 17th Lok Sabha is scheduled to end on June 16, 2024. However, the counting of votes for Arunachal Pradesh and Sikkim Assembly elections alone will be held on June 2, 2024 since the tenure of these Assemblies are expiring on the same day.

Here’s the constituency-wise schedule, the number of seats in each phase and their State-wise break-up:

Most States will go to polls in the first phase beginning on April 19. The Model Code of Conduct has begun from the date of the poll announcement.

Also read: What is Model Code of Conduct, and what are the penalties for violation?

This article has been updated after the Election Commission advanced the counting dates of Arunachal Pradesh and Sikkim Assembly elections to June 2.",thehindu
‘Duped’ Sri Lankans fighting in Russia-Ukraine war,"When Sri Lanka's economy crashed in 2022, people sought work abroad wherever they could find it — including ex-soldiers who joined forces fighting in Ukraine after Russia's invasion.

Now the veterans — some of whom swapped their life savings for what they thought would be lucrative, non-combat jobs — are desperate to come back home.

""What we ask is to help bring back our husbands,"" said Renuka Karunaratne, 49, who said her husband was duped into going to Russia by a devious agent.

Colombo's parliament set up an inquiry last month to track at least 2,000 battle-hardened Sri Lankans who reportedly enlisted on both sides of the Ukraine war, including in the regular armed forces and mercenary groups.

With no communication for months, and reports of at least 16 Sri Lankans killed and 37 wounded, distraught families are pleading with politicians for help.

The government says around a dozen Sri Lankans are being held prisoners of war in Ukraine, after being lured there in pursuit of work.

Advertisements shared on WhatsApp groups of retired military personnel promised monthly salaries of more than $2,100, 13 times the average income in Sri Lanka.

Promises were also made of plots of land in Russia, where foreign fighters and their families could settle.

Ms. Karunaratne said she and her husband paid $10,000 to an employment agent to get the job.

""We have sold everything we owned, including jewellery,"" she said while demonstrating outside the Russian embassy in Colombo last week.

""We have mortgaged a part of our house too.""

An unprecedented economic crisis in early 2022 saw Sri Lanka run out of foreign exchange to import food, fuel and other essentials — and ultimately default on its external debt.

Nilmini Chandima Dissanayake, 41, said hardship stemming from the downturn pushed her ex-soldier husband to go to Russia, more than 6,000 kilometres (3,700 miles) away.

""My husband was in the commando regiment for 22 years,"" Ms. Dissanayake told AFP. ""He had retired, he did some odd jobs, but found it was not enough to manage.""

She has not heard from him since May 1, one month after he arrived in Moscow to take up what he thought was a non-combatant role.

""His last call was to plead to get him back home, to save his life,"" she said.

""Every passing day they lose hope of surviving.""

The war in Ukraine has taken a heavy toll on Russian troops, and Moscow has been on a global quest for more forces to fight.

Sri Lanka has maintained a large military relative to its 22-million population since the end of a decades-long civil war against the separatist Tamil Tigers in 2009.

Moscow is believed to have hired thousands of foreign combatants, many of them from South Asia.

Neither Russia nor Ukraine will say how many foreigners are serving in their militaries or how many they are holding as prisoners of war.

In parliament, Sri Lankan deputy defence minister Premitha Tennakoon did not specify how many citizens were fighting on each side of the conflict.

Colombo has remained neutral in the Ukraine war, but reports that Russian authorities supported the recruitment of ex-soldiers from Sri Lanka have sparked tensions.

Police have arrested two retired Sri Lankan generals for illegally acting as recruiting agents for Russian mercenary firms, as well as six people who allegedly helped them with logistics.

State minister for foreign affairs Tharaka Balasuriya said Sri Lanka was pushing Ukraine to release prisoners of war, and would send a delegation to Moscow.

""If Sri Lankans are in a dangerous situation, it's the duty of the government... to ensure that they are safely returned,"" Mr. Balasuriya said.

The Sri Lankan foreign ministry said on June 11 that Moscow agreed not to recruit anymore Sri Lankans to their military.

Sri Lankan Foreign Minister Ali Sabry raised the issue with his Russian counterpart Sergei Lavrov on the sidelines of the BRICS ministerial meeting in Moscow on June 10, the ministry said.

""It was also agreed that no further recruitment from Sri Lanka will be done,"" the ministry said.

Moscow will accept a delegation from Sri Lanka on June 26 to ""review these issues in detail and take suitable action to arrest the situation"", the ministry statement said.

Russian ambassador Levan S. Dzhagaryan said ""a lot"" of visas had been issued to Sri Lankans, but insisted that they had not told the embassy why they wanted to go to Moscow.

""Why are you talking only about Russia?"" the ambassador challenged reporters last month in Colombo. ""Why don't you talk about Ukraine?""

At least 22 Sri Lankans who joined Russian forces have managed to desert, escape and return home, defence officials said.

Hotel driver Anil Madusanka, 37, is one of them.

""Many people have (economic) problems,"" said Madusanka, now recovering at his home outside Colombo after seven terrifying weeks in Russia. ""That's why they go to Russia or Ukraine.""

He thought he would swap driving tourists for a promised job driving in Russia — but was handed an assault rifle instead and sent to the battlefront to face Ukrainian forces.

He was wounded by shrapnel that tore into both his legs.

From a hospital, he fled to the Sri Lankan embassy in Moscow, which arranged his repatriation last month.

""I am lucky to have escaped,"" he said.",thehindu
"Celebrities at Chandrababu Naidu’s swearing-in : Ram Charan, Chiranjeevi, Rajnikanth, Allu Arjun among attendees","Actors Ram Charan, Konidela Chiranjeevi, superstar Rajinikanth and actor-politician Nandamuri Balakrishna were among the celebrities who attended the swearing-in ceremony of TDP chief and Andhra Pradesh Chief Minister N. Chandrababu Naidu on June 12.

They also interacted with Prime Minister Narendra Modi after the swearing-in ceremony

Mr. Naidu's son and TDP general secretary Nara Lokesh and Jana Sena Party chief Pawan Kalyan also took the oath of office today.

Mr. Modi also interacted with other Union Ministers and TDP leaders at the swearing-in ceremony that was held at Gannavaram Mandal, Kesarapalli IT Park on the outskirts of Vijayawada. Union Ministers Amit Shah, J.P. Nadda, and Nitin Gadkari were among others who attended the event.

Andhra Pradesh Governor S. Abdul Nazeer, former Telangana Governor Tamilisai Soundarajan were also present at the swearing-in.

This is the fourth time that Mr. Naidu is assuming charge as Andhra Chief Minister and the second time after the bi-furcation in 2014. Mr. Naidu became Chief Minister first in 1995, before the Andhra bifurcation and he led the state until 2004 for nine consecutive years. The TDP supremo returned as the Chief Minister of the bifurcated Andhra in 2014 and served until 2019.

Mr. Naidu had led the TDP- BJP-Janasena National Democratic Alliance to a landslide victory in the Assembly and parliamentary elections. The TDP is the single largest party and has a majority by itself in the 175-member assembly with 135 MLAs, while its allies, the Jana Sena Party won 21 seats and the BJP has won eight seats. The opposition YSR Congress Party has 11 legislators.",thehindu
Kuwait building fire: Several Indians among 41 killed in apartment fire,"Several Indians were feared to be among 41 people killed on June 12 in a major fire at a building in Kuwait housing workers, according to reports emanating from the Gulf nation.

The fire started in a kitchen in the six-storey building in Mangaf area in Kuwait's southern Ahmadi Governorate in the early hours of Wednesday, officials said.

The building reportedly had nearly 160 people living in it, who are workers of the same company.

Many workers staying there were reportedly Indians.

""In connection with the tragic fire-accident involving Indian workers today, Embassy has put in place an emergency helpline number: +965-65505246. All concerned are requested to connect over this helpline for updates. Embassy remains committed to render all possible assistance,"" the Indian Embassy in Kuwait said in a post on X.

Indians constitute 21% (1 million) of the total population of Kuwait and 30% of its workforce (approximately 9 lakhs).

""Deeply shocked by the news of the fire incident in Kuwait City. There are reportedly over 40 deaths and over 50 have been hospitalised. Our Ambassador has gone to the camp. We are awaiting further information,"" External Affairs Minister S. Jaishankar said in a post on X.

""Deepest condolences to the families of those who tragically lost their lives. Wish early and full recovery to those who have been injured. Our Embassy will render the fullest assistance to all concerned in this regard,"" he added.

Kuwait's Interior Minister Sheikh Fahad Al-Yousuf Al-Sabah ordered police to apprehend the owner of the Mangaf building where the fatal blaze occurred Wednesday, the building's janitor, as well as the owner of the company responsible for the workers pending the end of the criminal evidence personnel's examination of the scene, the Kuwait Times reported.

""What happened today is a result of the greed of the company and building owners,"" the Minister said in a statement as he visited the fire scene.

He said that he gave orders to Kuwait Municipality and the Public Authority for Manpower to launch immediate action to address similar violations where large numbers of workers are crammed into one residential building, and make sure that all safety requirements are in place in order to prevent similar incidents in the future.",thehindu
Prem Singh Tamang sworn in as Sikkim Chief Minister for second consecutive term,"Sikkim Krantikari Morcha (SKM) supremo Prem Singh Tamang on June 10 took oath as the Chief Minister of the Himalayan state for the second consecutive term.

The 56-year-old politician was administered the oath of office and secrecy by Governor Lakshman Prasad Acharya at a function held in Paljor Stadium in Gangtok.

Eleven other Ministers also took oath along with him.

Thousands of SKM supporters turned up to witness the swearing-in ceremony and cheered for their leader who took oath in Nepali.

The stadium erupted in loud sounds of firecrackers as Mr. Tamang was sworn in. The bursting of firecrackers is otherwise prohibited in Sikkim.

Along with the Chief Minister, 11 other Ministers were sworn in, including Sonam Lama, Arun Kumar Upreti, Samdup Lepcha, Bhim Hang Limboo, Bhoj Raj Rai, G T Dhungel, Puran Kumar Gurung, Pintso Namgyal Lepcha, Nar Bahadur Dahal, Raju Basnet and Tshering Thendup Bhutia.

The council of Ministers in Sikkim can have a maximum strength of 12 including the chief minister.

While three Ministers — Arun Kumar Upreti, Nar Bahadur Dahal and Raju Basnet — took oath in Nepali, eight other Ministers took oath in English.

Only four Ministers of the previous government have been retained this time.

The Chief Minister has rewarded two SKM MLAs Bhoj Raj Rai and Raju Basnet with ministerial berths for defeating SDF supremo and former chief minister Pawan Kumar Chamling in Poklok-Kamrang and Namcheybung assembly constituencies respectively.

Mr. Tamang also included Nar Bahadur Dahal, a first-time MLA from Khamdong-Singtam, in the cabinet for defeating Mani Kumar Sharma, who had revolted against the chief minister in the previous term.

Women, however, failed to get representation in the Tamang cabinet despite four women getting elected on SKM tickets, including the CM’s wife Krishna Kumari Rai.

Around 30,000 SKM leaders and workers attended the elaborate swearing-in ceremony for which the state government had declared a half working day for government employees and closed the educational institutions around the state capital as part of security measures for the function.",thehindu
