description_text,link
International Road Federation calls for reducing GST on helmets from 18% to nil,news.google.com/articles/CBMipQFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vaW5kdXN0cnkvdHJhbnNwb3J0YXRpb24vcm9hZHdheXMvaW50ZXJuYXRpb25hbC1yb2FkLWZlZGVyYXRpb24tY2FsbHMtZm9yLXJlZHVjaW5nLWdzdC1vbi1oZWxtZXRzLWZyb20tMTgtdG8tbmlsL2FydGljbGVzaG93LzExMDk0MzA2NC5jbXPSAakBaHR0cHM6Ly9tLmVjb25vbWljdGltZXMuY29tL2luZHVzdHJ5L3RyYW5zcG9ydGF0aW9uL3JvYWR3YXlzL2ludGVybmF0aW9uYWwtcm9hZC1mZWRlcmF0aW9uLWNhbGxzLWZvci1yZWR1Y2luZy1nc3Qtb24taGVsbWV0cy1mcm9tLTE4LXRvLW5pbC9hbXBfYXJ0aWNsZXNob3cvMTEwOTQzMDY0LmNtcw?hl=en-IN&gl=IN&ceid=IN%3Aen
This man is on a crusade to improve India’s road safety,news.google.com/articles/CBMiS2h0dHBzOi8vd3d3LndlZm9ydW0ub3JnL2FnZW5kYS8yMDI0LzA1L3JvYWQtdHJhZmZpYy1zYWZldHktcHJvZ3JhbW1lLWluZGlhL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
"Three killed, 14 injured in road accident in Uttarakhand's Uttarkashi",news.google.com/articles/CBMiygFodHRwczovL3d3dy5pbmRpYXR2bmV3cy5jb20vbmV3cy9pbmRpYS91dHRhcmFraGFuZC1tYW55LWtpbGxlZC1zZXZlcmFsLWluanVyZWQtaW4tcm9hZC1hY2NpZGVudC1pbi11dHRhcmthc2hpLWdhbmdhbmFuaS1nYW5nb3RyaS1kaGFtLXNkcmYtbmRyZi1kaXNhc3Rlci1yZXNwb25zZS10ZWFtcy1yZXNjdWUtb3BlcmF0aW9uLTIwMjQtMDYtMTItOTM2NDY50gHOAWh0dHBzOi8vd3d3LmluZGlhdHZuZXdzLmNvbS9hbXAvbmV3cy9pbmRpYS91dHRhcmFraGFuZC1tYW55LWtpbGxlZC1zZXZlcmFsLWluanVyZWQtaW4tcm9hZC1hY2NpZGVudC1pbi11dHRhcmthc2hpLWdhbmdhbmFuaS1nYW5nb3RyaS1kaGFtLXNkcmYtbmRyZi1kaXNhc3Rlci1yZXNwb25zZS10ZWFtcy1yZXNjdWUtb3BlcmF0aW9uLTIwMjQtMDYtMTItOTM2NDY5?hl=en-IN&gl=IN&ceid=IN%3Aen
Int'l Road Federation wants no GST on helmets to make them affordable,news.google.com/articles/CBMijgFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vZWNvbm9teS9uZXdzL2ludGVybmF0aW9uYWwtcm9hZC1mZWRlcmF0aW9uLXdhbnRzLW5vLWdzdC1vbi1oZWxtZXRzLXRvLW1ha2UtaXQtYWZmb3JkYWJsZS0xMjQwNjEyMDA0MzNfMS5odG1s0gGSAWh0dHBzOi8vd3d3LmJ1c2luZXNzLXN0YW5kYXJkLmNvbS9hbXAvZWNvbm9teS9uZXdzL2ludGVybmF0aW9uYWwtcm9hZC1mZWRlcmF0aW9uLXdhbnRzLW5vLWdzdC1vbi1oZWxtZXRzLXRvLW1ha2UtaXQtYWZmb3JkYWJsZS0xMjQwNjEyMDA0MzNfMS5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen
Four-year-old killed in road accident near Manali,news.google.com/articles/CBMifGh0dHBzOi8vdGltZXNvZmluZGlhLmluZGlhdGltZXMuY29tL2NpdHkvY2hlbm5haS9mb3VyLXllYXItb2xkLWtpbGxlZC1pbi1yb2FkLWFjY2lkZW50LW5lYXItbWFuYWxpL2FydGljbGVzaG93LzExMDgyODA1MC5jbXPSAYABaHR0cHM6Ly90aW1lc29maW5kaWEuaW5kaWF0aW1lcy5jb20vY2l0eS9jaGVubmFpL2ZvdXIteWVhci1vbGQta2lsbGVkLWluLXJvYWQtYWNjaWRlbnQtbmVhci1tYW5hbGkvYW1wX2FydGljbGVzaG93LzExMDgyODA1MC5jbXM?hl=en-IN&gl=IN&ceid=IN%3Aen
Data | Road crash deaths down by 5 per cent globally but India’s numbers rise: report,news.google.com/articles/CBMirgFodHRwczovL2Zyb250bGluZS50aGVoaW5kdS5jb20vbmV3cy9kYXRhLXJvYWQtY3Jhc2gtZGVhdGhzLWRvd24tYnktNS1wZXItY2VudC1nbG9iYWxseS1idXQtaW5kaWEtbnVtYmVycy1yaXNlLXdoby1nbG9iYWwtc3RhdHVzLXJlcG9ydC1vbi1yb2FkLXNhZmV0eS0yMDIzL2FydGljbGU2NzYzODA0NS5lY2XSAbMBaHR0cHM6Ly9mcm9udGxpbmUudGhlaGluZHUuY29tL25ld3MvZGF0YS1yb2FkLWNyYXNoLWRlYXRocy1kb3duLWJ5LTUtcGVyLWNlbnQtZ2xvYmFsbHktYnV0LWluZGlhLW51bWJlcnMtcmlzZS13aG8tZ2xvYmFsLXN0YXR1cy1yZXBvcnQtb24tcm9hZC1zYWZldHktMjAyMy9hcnRpY2xlNjc2MzgwNDUuZWNlL2FtcC8?hl=en-IN&gl=IN&ceid=IN%3Aen
What does data tell us about road accidents in India?,news.google.com/articles/CBMic2h0dHBzOi8vd3d3LmhpbmR1c3RhbnRpbWVzLmNvbS9pbmRpYS1uZXdzL3doYXQtZG9lcy1kYXRhLXRlbGwtdXMtYWJvdXQtcm9hZC1hY2NpZGVudHMtaW4taW5kaWEtMTAxNzA0MjIyNTA4NzA0Lmh0bWzSAXdodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vaW5kaWEtbmV3cy93aGF0LWRvZXMtZGF0YS10ZWxsLXVzLWFib3V0LXJvYWQtYWNjaWRlbnRzLWluLWluZGlhLTEwMTcwNDIyMjUwODcwNC1hbXAuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen
"Student, 19, Killed In Road Accident On Delhi-Gurugram Expressway: Cops",news.google.com/articles/CBMibGh0dHBzOi8vd3d3Lm5kdHYuY29tL2luZGlhLW5ld3Mvc3R1ZGVudC0xOS1raWxsZWQtaW4tcm9hZC1hY2NpZGVudC1vbi1kZWxoaS1ndXJ1Z3JhbS1leHByZXNzd2F5LWNvcHMtNTg0MTgzN9IBcmh0dHBzOi8vd3d3Lm5kdHYuY29tL2luZGlhLW5ld3Mvc3R1ZGVudC0xOS1raWxsZWQtaW4tcm9hZC1hY2NpZGVudC1vbi1kZWxoaS1ndXJ1Z3JhbS1leHByZXNzd2F5LWNvcHMtNTg0MTgzNy9hbXAvMQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Speeding led to 70% of India road crash deaths,news.google.com/articles/CBMiMmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC1hc2lhLWluZGlhLTY3MjgyMTY10gE2aHR0cHM6Ly93d3cuYmJjLmNvbS9uZXdzL3dvcmxkLWFzaWEtaW5kaWEtNjcyODIxNjUuYW1w?hl=en-IN&gl=IN&ceid=IN%3Aen
Why are India's roads so deadly?,news.google.com/articles/CBMiP2h0dHBzOi8vd3d3LmR3LmNvbS9lbi93aHktYXJlLWluZGlhcy1yb2Fkcy1zby1kZWFkbHkvYS02NzQ1NDM3MNIBP2h0dHBzOi8vYW1wLmR3LmNvbS9lbi93aHktYXJlLWluZGlhcy1yb2Fkcy1zby1kZWFkbHkvYS02NzQ1NDM3MA?hl=en-IN&gl=IN&ceid=IN%3Aen
